dataset,analysis_type,protein,n_ivs,ivw_beta,ivw_se,ivw_p,OR,OR_lo,OR_hi,wm_beta,wm_se,wm_p,egger_beta,egger_se,egger_p,egger_intercept,egger_intercept_p,Q,Q_df,Q_p,I2,direction_consistent,n_matched,outcome,ivw_p_fdr,ivw_p_bonf,seqid,discovery_OR,discovery_p,n_iv,method,egger_int_p,same_dir,replicates,beta,se
JCTF/Olink,proteome-wide,HCG22,13.0,-0.0913192580961424,0.0169295661916545,6.887952275214104e-08,0.9127262691281878,0.8829371949261358,0.943520385304816,-0.0885481076095606,0.0299502037204365,0.0031114110412255,-0.0344402322455402,0.0244344003767537,0.1586880396094616,-0.0257673445358155,0.0023968635219902,17.357291630326184,12.0,0.1366442493638118,30.864790109109368,False,13.0,BBJ_Glaucoma,3.30621709210277e-06,3.30621709210277e-06,,,,,,,,,,
JCTF/Olink,proteome-wide,PTGR1,5.0,0.1081579621983943,0.0269799540770221,6.102115720008072e-05,1.114223736717068,1.056833583504404,1.1747303973318255,0.0792204837738344,0.0292931687821695,0.0068427594443654,0.1115838016393791,0.0307175172441769,0.0002806028560335,0.0038155229987232,0.6798752570620108,3.809261997762856,4.0,0.4324344004362837,0.0,True,5.0,BBJ_Glaucoma,0.0014645077728019,0.0029290155456038,,,,,,,,,,
JCTF/Olink,proteome-wide,COL2A1,3.0,0.0840715762416282,0.0246336433720034,0.0006428112632002,1.0877067449834452,1.036437793560932,1.1415117920561697,0.0795175150284094,0.0101658035632426,5.10702591327572e-15,0.037335565043883,0.00065018376598,0.0,0.0227645236851119,0.0,0.3852898523366152,2.0,0.8247747780932617,0.0,True,3.0,BBJ_Glaucoma,0.0102849802112032,0.0308549406336098,,,,,,,,,,
JCTF/Olink,proteome-wide,ENTPD5,3.0,-0.0833785926829945,0.0289739434275257,0.0040057381119849,0.920002774959757,0.869212611139505,0.9737607290626492,-0.0896467159427944,0.0125793097240675,1.0293987884324451e-12,0.0416839724128461,0.0354159683254554,0.2392025196623517,0.045124965824842,0.0003828492632733,0.2328229295883338,2.0,0.8901088994628567,0.0,False,3.0,BBJ_Glaucoma,0.0480688573438188,0.1922754293752753,,,,,,,,,,
JCTF/Olink,proteome-wide,CDSN,6.0,-0.0814448746529553,0.0315787164338221,0.0099056225611222,0.9217835220899084,0.8664601514159445,0.980639282958306,-0.0320556461472706,0.045352615230992,0.4796850502670264,-0.0477144588012499,0.0496643125080935,0.3366832457303235,-0.0126952101461386,0.2754719501219349,7.857152400163817,5.0,0.1642859444787159,36.36371365412547,False,6.0,BBJ_Glaucoma,0.0950939765867737,0.4754698829338686,,,,,,,,,,
JCTF/Olink,proteome-wide,IL1RL2,3.0,0.129255198698047,0.0589164333587733,0.0282445088388461,1.1379804982541686,1.013874357108636,1.277278200525637,0.127747738193184,0.0068949767620309,0.0,0.1283945615644285,0.0049246041059035,0.0,-0.0011289369657758,0.2290822333987903,0.0167323224816552,2.0,0.9916687376949376,0.0,True,3.0,BBJ_Glaucoma,0.2036793365623959,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,DPEP1,3.0,0.0318972138497814,0.0151157280535831,0.0348411068475829,1.0324113822597978,1.0022729661446348,1.063456062593006,0.0321581586216481,0.002754910148866,0.0,-0.1158064407675788,0.0043224233718689,0.0,0.0940335373362081,0.0,0.0408072651401631,2.0,0.9798031130329332,0.0,True,3.0,BBJ_Glaucoma,0.2036793365623959,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,CHMP1A,3.0,-0.2458795996934479,0.1176735262082789,0.0366621520733925,0.7820163742687493,0.6209406886304953,0.9848760450426158,-0.2710534717819047,0.036369048858584,9.126033262418789e-14,0.1630476183714799,0.0905967153779256,0.0719067835121873,0.0336027044689129,5.721889632548383e-06,0.1277150870837574,2.0,0.9381386339189776,0.0,False,3.0,BBJ_Glaucoma,0.2036793365623959,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,GGH,3.0,0.1137003529507924,0.0555204606020606,0.0405697959039392,1.1204163451272575,1.0048921779873008,1.2492213731254518,0.0992280313099067,0.0425421791124331,0.0196763810545137,0.1057048695798699,0.0455207689536009,0.0202262603262901,0.0030017930683291,0.7610161200442052,0.4894773972524148,2.0,0.782909086736222,0.0,True,3.0,BBJ_Glaucoma,0.2036793365623959,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,ENTR1,4.0,0.0818490264741248,0.040816702698544,0.0449328366802457,1.085291947108535,1.0018499983242664,1.1756835977728877,0.0866732908566261,0.0122353125705399,1.4019896354966477e-12,0.1353526966935099,0.0251498359652573,7.372334165367533e-08,0.0158240855598236,0.028863079729996,0.1346344557548765,3.0,0.9873794162233782,0.0,True,4.0,BBJ_Glaucoma,0.2036793365623959,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,PDCD6,3.0,-0.0375110119199262,0.0190774002964916,0.04926929402785,0.96318381115942,0.9278337448512924,0.9998806997780352,-0.0373765050693261,0.0046558085342282,8.881784197001252e-16,-0.0292605248603517,0.0018588964661915,0.0,0.0111684634168431,1.7926694195757878e-07,0.0742700702134297,2.0,0.9635460140249492,0.0,False,3.0,BBJ_Glaucoma,0.2036793365623959,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,SNAP29,3.0,-0.2427697518759377,0.1243598906981059,0.0509198341405989,0.7844521116067164,0.6147650371174345,1.0009761099779118,-0.2366528275373253,0.1153317266373799,0.0401762992088445,-0.2469664961162337,0.0440886994806048,2.1240341041561805e-08,-0.0123445421637767,0.0185950163638621,0.8205554822785277,2.0,0.6634659527544409,0.0,False,3.0,BBJ_Glaucoma,0.2036793365623959,1.0,,,,,,,,,,
JCTF/Olink,proteome-wide,EFCAB2,3.0,0.0579456417657424,0.0322524897920861,0.0723951122358619,1.0596573930399082,0.9947446198577984,1.1288060957642103,0.0533373810034161,0.0086471952092839,6.908429384111513e-10,0.0633058881435696,0.0005592955787096,0.0,-0.0042405171939687,0.0,0.1104440737556584,2.0,0.9462750166756304,0.0,True,3.0,BBJ_Glaucoma,0.2505611188860627,1.0,,,,,,,,,,
