group,trait,exposure,outcome,or,lo,hi,p
"Primary
(KoGES → BBJ Glaucoma)",LDL,KOGES_LDL,BBJ_Glaucoma,0.8434573335075404,0.7419135919664317,0.9588990970795408,0.0092878936822231
"Primary
(KoGES → BBJ Glaucoma)",TC,KOGES_TC,BBJ_Glaucoma,0.8620432701515035,0.7583216724536886,0.9799516835764456,0.0232300151115358
"Primary
(KoGES → BBJ Glaucoma)",TG,KOGES_TG,BBJ_Glaucoma,0.8734517317655982,0.7883014184702724,0.9677997652278651,0.0097260062316255
"Primary
(KoGES → BBJ Glaucoma)",Total lipids,KOGES_LIP,BBJ_Glaucoma,0.8591546619794925,0.7914965157333106,0.9325963141065926,0.0002861756508906
"Replication
(KoGES → TPMI Glaucoma)",LDL,KOGES_LDL,TPMI_365,0.8942425898220209,0.8323162269376667,0.9607764255586037,0.002266943923151
"Replication
(KoGES → TPMI Glaucoma)",TC,KOGES_TC,TPMI_365,0.8709801401689395,0.8050337245450068,0.9423287266598164,0.0005844953654841
"Replication
(KoGES → TPMI Glaucoma)",TG,KOGES_TG,TPMI_365,0.9465356976697856,0.8858464058058949,1.0113828098090656,0.1041158614902644
"Replication
(KoGES → TPMI Glaucoma)",Total lipids,KOGES_LIP,TPMI_365,0.8578513931003843,0.7944355374271311,0.9263294225578,9.115069766107986e-05
"Exposure replication
(TPMI lipids → BBJ Glaucoma)",LDL-C,TPMI_LDL-C,BBJ_Glaucoma,0.852,0.765,0.95,0.00386
"Exposure replication
(TPMI lipids → BBJ Glaucoma)",TC,TPMI_TC,BBJ_Glaucoma,0.834,0.75,0.929,0.000913
"Exposure replication
(TPMI lipids → BBJ Glaucoma)",HDL-C,TPMI_HDL-C,BBJ_Glaucoma,1.069,0.98,1.165,0.132
"Cross-validation
(BBJ lipids → TPMI Glaucoma)",LDL-C,BBJ_LDLC,TPMI_365,0.883,0.816,0.955,0.001835
"Cross-validation
(BBJ lipids → TPMI Glaucoma)",TC,BBJ_TC,TPMI_365,0.858,0.78,0.943,0.001518
"Cross-validation
(BBJ lipids → TPMI Glaucoma)",TG,BBJ_TG,TPMI_365,0.971,0.9,1.049,0.457
"Cross-ancestry
(KoGES → FinnGen POAG)",Total lipids,KOGES_LIP,FinnGen_POAG,0.8982166053959135,0.8164229977975971,0.9882047325778224,0.0275542912602524
"Subtype divergence
(KoGES → Luben PACG)",Total lipids,KOGES_LIP,Luben_PACG,1.1958594526815425,1.0780515269794106,1.326541259650858,0.0007239351778653
