exposure,outcome,role,n_iv,ivw_or,ivw_lci,ivw_uci,ivw_p,wm_or,wm_p,egger_or,egger_p,egger_int_p,Q_p,ivw_or_lci,ivw_or_uci
KOGES_LDL,BBJ_Glaucoma,Primary,43,0.8434573335075404,0.7419135919664317,0.9588990970795408,0.0092878936822231,0.8374210817553944,0.0054196451455367,0.8434300169101742,0.078393745384834,0.9672376296796136,0.0347471421084378,,
KOGES_LIP,BBJ_Glaucoma,Primary,9,0.8591546619794925,0.7914965157333106,0.9325963141065926,0.0002861756508906,0.8451063507834156,0.0003128129462546,0.8196557079040336,0.217298562891798,0.7509554426676317,0.7735140909590967,,
KOGES_TC,BBJ_Glaucoma,Primary,44,0.8620432701515035,0.7583216724536886,0.9799516835764456,0.0232300151115358,0.8353352223885238,0.0273700201068207,0.7833264245477736,0.1261001769822261,0.5687739583812148,0.0199961901344173,,
KOGES_TG,BBJ_Glaucoma,Primary,39,0.8734517317655982,0.7883014184702724,0.9677997652278651,0.0097260062316255,0.9071917710164183,0.0491365285362918,0.8564630919577787,0.0398054729556884,0.7016864322836953,0.1733707078656328,,
KOGES_LDL,TPMI_365,Replication,51,0.8942425898220209,0.8323162269376667,0.9607764255586037,0.002266943923151,0.9611082234790927,0.5445700021359543,0.8940521763253457,0.0124998396913955,0.2343392357212534,0.0313408894846619,0.8323162269376667,0.9607764255586037
KOGES_TC,TPMI_365,Replication,52,0.8709801401689395,0.8050337245450068,0.9423287266598164,0.0005844953654841,0.8664051861930082,0.0158825708268339,0.866364666912793,0.0049027999530064,0.2601944691072335,0.0166829139355888,0.8050337245450068,0.9423287266598164
KOGES_TG,TPMI_365,Replication,41,0.9465356976697856,0.8858464058058949,1.0113828098090656,0.1041158614902644,0.907662326064037,0.0406407904155441,0.9606355595112356,0.3110782780492083,0.0624865917541022,0.0579404418885377,0.8858464058058949,1.0113828098090656
KOGES_LIP,TPMI_365,Replication,8,0.8578513931003843,0.7944355374271311,0.9263294225578,9.115069766107986e-05,0.8297570700724372,0.0028954395902744,0.8527944395802568,0.0181880752011671,0.5505039865331702,0.1976095709421609,0.7944355374271311,0.9263294225578
TPMI_LDL-C,BBJ_Glaucoma,Exposure replication,57,0.852,0.765,0.95,0.00386,0.805,0.0083,0.808,0.0,0.0066,,0.765,0.95
TPMI_TC,BBJ_Glaucoma,Exposure replication,74,0.834,0.75,0.929,0.000913,0.785,0.0051,0.788,0.0,4.2e-05,,0.75,0.929
TPMI_HDL-C,BBJ_Glaucoma,Exposure replication,72,1.069,0.98,1.165,0.132,1.082,0.31,1.052,0.0,0.786,,0.98,1.165
BBJ_LDLC,TPMI_365,Cross-validation,39,0.883,0.816,0.955,0.001835,0.879,0.0998,0.956,0.0,1.16e-08,,0.816,0.955
BBJ_TC,TPMI_365,Cross-validation,65,0.858,0.78,0.943,0.001518,0.879,0.205,0.926,0.0,0.296,,0.78,0.943
BBJ_TG,TPMI_365,Cross-validation,58,0.971,0.9,1.049,0.457,0.99,0.87,0.955,0.0,0.192,,0.9,1.049
KOGES_LDL,FinnGen_POAG,Cross-ancestry,44,0.9248517385151344,0.8158148279349989,1.0484618677495008,0.2222394240568554,0.8905793036712738,0.0298585282777758,0.8496439424434383,0.0880235936541334,0.362688223419182,0.1851964380148262,,
KOGES_LIP,FinnGen_POAG,Cross-ancestry,9,0.8982166053959135,0.8164229977975971,0.9882047325778224,0.0275542912602524,0.9377839122295628,0.4285586246974643,0.9541870157092298,0.8071197623778521,0.7438371039267251,0.4552378764847891,,
KOGES_TC,FinnGen_POAG,Cross-ancestry,44,0.9489553108198364,0.8331967004691233,1.08079662512603,0.4298925809330843,0.9248041132704902,0.3237731934653503,0.8437845744442474,0.2219957858028607,0.4001300243287631,0.126668380976183,,
KOGES_TG,FinnGen_POAG,Cross-ancestry,42,0.9536433600763656,0.823706574499611,1.1040772119249005,0.5253370082649738,0.96268228267495,0.3281360564605707,0.9729093417313212,0.824751898281104,0.86742121656157,0.0231406230200048,,
